iter	Passed	Remaining
443	1236	9904
444	1239	9903
445	1243	9909
446	1246	9905
447	1248	9898
448	1250	9891
449	1252	9884
450	1256	9889
451	1259	9888
452	1262	9885
453	1264	9879
454	1267	9873
455	1269	9866
456	1273	9870
457	1275	9867
458	1278	9860
459	1280	9853
460	1282	9846
461	1285	9841
462	1288	9843
463	1291	9843
464	1294	9837
465	1296	9830
466	1298	9824
467	1301	9818
468	1304	9820
469	1307	9821
470	1310	9815
471	1312	9811
472	1314	9805
473	1317	9798
474	1320	9798
475	1323	9797
476	1325	9791
477	1328	9785
478	1330	9779
479	1332	9773
480	1335	9768
481	1338	9769
482	1341	9766
483	1343	9761
484	1346	9755
485	1348	9749
486	1351	9747
487	1354	9747
488	1356	9742
489	1359	9736
490	1361	9731
491	1363	9725
492	1366	9719
493	1370	9725
494	1372	9721
495	1375	9714
496	1377	9708
497	1380	9704
498	1384	9710
499	1386	9708
500	1389	9703
501	1391	9697
502	1394	9691
503	1396	9685
504	1399	9682
505	1402	9685
506	1405	9680
507	1407	9674
508	1409	9669
509	1412	9664
510	1416	9668
511	1419	9668
512	1422	9667
513	1424	9664
514	1428	9664
515	1432	9670
516	1436	9675
517	1439	9675
518	1442	9674
519	1445	9672
520	1449	9680
521	1453	9681
522	1455	9677
523	1458	9675
524	1461	9673
525	1466	9685
526	1469	9685
527	1472	9681
528	1475	9684
529	1478	9680
530	1481	9681
531	1485	9682
532	1488	9681
533	1490	9675
534	1493	9674
535	1498	9682
536	1501	9681
537	1504	9680
538	1506	9675
539	1509	9670
540	1513	9674
541	1516	9677
542	1520	9678
543	1522	9675
544	1525	9671
545	1529	9676
546	1532	9676
547	1535	9672
548	1538	9669
549	1541	9667
550	1545	9673
551	1548	9672
552	1551	9668
553	1553	9665
554	1556	9660
555	1559	9658
556	1562	9660
557	1565	9656
558	1568	9653
559	1570	9649
560	1573	9647
561	1578	9654
562	1581	9652
563	1583	9649
564	1586	9646
565	1589	9642
566	1594	9654
567	1598	9659
568	1601	9658
569	1605	9659
570	1610	9672
571	1613	9669
572	1616	9667
573	1618	9662
574	1621	9659
575	1625	9664
576	1629	9664
577	1632	9663
578	1634	9656
579	1636	9651
580	1640	9653
581	1643	9650
582	1645	9644
583	1647	9638
584	1650	9633
585	1652	9628
586	1655	9627
587	1658	9624
588	1660	9618
589	1663	9612
590	1665	9608
591	1668	9606
592	1671	9604
593	1674	9600
594	1676	9594
595	1678	9588
596	1681	9584
597	1683	9579
598	1686	9574
599	1689	9576
600	1692	9571
601	1694	9565
602	1696	9559
603	1699	9554
604	1701	9547
605	1704	9548
606	1707	9544
607	1710	9541
608	1712	9536
609	1715	9531
610	1717	9525
611	1720	9523
612	1723	9520
613	1725	9513
614	1727	9508
615	1729	9502
616	1732	9496
617	1734	9492
618	1738	9493
619	1740	9488
620	1742	9482
621	1745	9478
622	1747	9473
623	1749	9467
624	1753	9469
625	1756	9464
626	1758	9459
627	1760	9453
628	1762	9447
629	1765	9442
630	1768	9441
631	1771	9438
632	1773	9433
633	1775	9428
634	1778	9422
635	1780	9416
636	1782	9410
637	1786	9411
638	1788	9407
639	1790	9402
640	1793	9396
641	1795	9390
642	1797	9385
643	1800	9382
644	1803	9378
645	1805	9373
646	1807	9368
647	1810	9363
648	1812	9358
649	1814	9353
650	1819	9358
651	1821	9354
652	1824	9349
653	1826	9343
654	1828	9338
655	1830	9333
656	1835	9338
657	1838	9337
658	1840	9332
659	1842	9326
660	1845	9322
661	1848	9322
662	1851	9319
663	1853	9314
664	1856	9309
665	1858	9303
666	1861	9299
667	1863	9294
668	1866	9294
669	1869	9291
670	1871	9286
671	1873	9280
672	1876	9275
673	1878	9270
674	1882	9271
675	1884	9265
676	1886	9260
677	1889	9257
678	1891	9253
679	1894	9248
680	1897	9246
681	1899	9241
682	1902	9237
683	1904	9232
684	1906	9228
685	1909	9223
686	1911	9217
687	1914	9218
688	1917	9214
689	1919	9209
690	1922	9204
691	1924	9199
692	1926	9194
693	1929	9192
694	1932	9189
695	1934	9185
696	1937	9180
697	1939	9175
698	1941	9170
699	1944	9164
700	1947	9164
701	1949	9160
702	1952	9157
