iter	Logloss
0	0.6902406558
1	0.6871850717
2	0.6840854376
3	0.6809361542
4	0.6780143528
5	0.6750114044
6	0.6720614652
7	0.6694868829
8	0.6668752968
9	0.6641459334
10	0.6614530138
11	0.6587795993
12	0.6561750593
13	0.6534136851
14	0.6509939771
15	0.6485667097
16	0.6459781285
17	0.6434776936
18	0.6407784745
19	0.6382331965
20	0.635479055
21	0.6331385808
22	0.6306058085
23	0.6280632369
24	0.6260557962
25	0.6236050574
26	0.6212230064
27	0.6189028305
28	0.6167576874
29	0.6145044263
30	0.6125514879
31	0.610483712
32	0.6084498134
33	0.6061112523
34	0.6041233634
35	0.6021178359
36	0.5999146441
37	0.5977240513
38	0.5957417153
39	0.5937977362
40	0.5918941206
41	0.5896637709
42	0.5875801296
43	0.5853534197
44	0.583114764
45	0.5812000893
46	0.5789295628
47	0.5770578647
48	0.5753493469
49	0.5732068636
50	0.5714525695
51	0.5696424198
52	0.5677855139
53	0.5660685501
54	0.5642900379
55	0.5623595445
56	0.5605174307
57	0.5588853935
58	0.5571135075
59	0.5555053618
60	0.5537914311
61	0.5521619604
62	0.5504267048
63	0.5488148727
64	0.5472437307
65	0.5455150079
66	0.543959498
67	0.5426232574
68	0.5409441373
69	0.5393682357
70	0.5377968138
71	0.536126653
72	0.5346154263
73	0.5331141387
74	0.5316876986
75	0.5301891642
76	0.5286435935
77	0.5271113684
78	0.5256953342
79	0.524382565
80	0.5228877636
81	0.52167294
82	0.5203442588
83	0.5190285966
84	0.5176172286
85	0.5162515436
86	0.5151188935
87	0.513658996
88	0.5123521531
89	0.5110222586
90	0.5095783199
91	0.5085664802
92	0.5073892203
93	0.5059999238
94	0.5047476299
95	0.5033543671
96	0.5022144376
97	0.5010519232
98	0.4999222595
99	0.4989523231
100	0.497794335
101	0.4966675178
102	0.4955853103
103	0.4944170564
104	0.4934314413
105	0.4921536227
106	0.4908537325
107	0.4896973776
108	0.4886762053
109	0.4879383705
110	0.4868810811
111	0.4860195895
112	0.484980032
113	0.4839720653
114	0.4828395552
115	0.4818083504
116	0.4809153146
117	0.4798278809
118	0.4786948108
119	0.477553668
120	0.4767174677
121	0.4759046455
122	0.4748377435
123	0.4739743387
124	0.4731842881
125	0.472135118
126	0.4712366693
127	0.4701593148
128	0.469228902
129	0.4684405312
130	0.4674545428
131	0.4665054181
132	0.4657214803
133	0.4649764128
134	0.4642715687
135	0.4632644887
136	0.4624570327
137	0.4615164007
138	0.4607417022
139	0.4598844102
140	0.4589953408
141	0.4581087912
142	0.4573031551
143	0.4563619165
144	0.4554442426
145	0.4545758449
146	0.4537506104
147	0.4529236493
148	0.4519938898
149	0.4512123318
150	0.4504233544
151	0.449584261
152	0.4488129689
153	0.4480321108
154	0.4473578777
155	0.4467358137
156	0.4460307363
157	0.4451755909
158	0.444409105
159	0.4436825627
160	0.4430033366
161	0.4423817859
162	0.4416098872
163	0.4410495583
164	0.440347654
165	0.4397039851
166	0.4390753416
167	0.4382404946
168	0.4378340135
169	0.4371275829
170	0.4366053777
171	0.4359227918
172	0.4352032489
173	0.4345695659
174	0.4338425569
175	0.4331345398
176	0.4325097694
177	0.43199797
178	0.4314618125
179	0.430917629
180	0.4302870258
181	0.4295748556
182	0.4290391648
183	0.42846997
184	0.4278839765
185	0.4272415674
186	0.4267169357
187	0.4262874498
188	0.4257287542
189	0.4251336614
190	0.4245641866
191	0.4240064708
192	0.4233841269
193	0.4229470349
194	0.4224860982
195	0.4219389749
196	0.4212758475
197	0.4207855131
198	0.4202108121
199	0.4197170246
200	0.4191322443
201	0.4186276777
202	0.4181739737
203	0.4176565281
204	0.4170580756
205	0.4166088979
206	0.4160203846
207	0.4155153047
208	0.414969908
209	0.4144630549
210	0.4140079977
211	0.4134796796
212	0.4129954114
213	0.4125821641
214	0.4121686836
215	0.4118115253
216	0.411403131
217	0.4109687455
218	0.4105206877
219	0.410043419
220	0.4095862619
221	0.4090576172
222	0.4086509028
223	0.4082090979
224	0.4077649598
225	0.4073198418
226	0.4068956288
227	0.4064650229
228	0.4060175251
229	0.4054512234
230	0.4049393307
231	0.4045561344
232	0.4042154015
233	0.4038679024
234	0.4034664609
235	0.4030088372
236	0.4026102888
237	0.4022563969
238	0.4017999398
239	0.4013616813
240	0.4009460543
241	0.4005424663
242	0.4001225929
243	0.3997980987
244	0.3993596535
245	0.3989600319
246	0.3986550427
247	0.3982194906
248	0.3978239754
249	0.3975214127
250	0.3971577216
251	0.3966979047
252	0.3963915157
253	0.3961513881
254	0.3957193824
255	0.3953386126
256	0.3950905523
257	0.3946767918
258	0.3943698895
259	0.3939697546
260	0.3936330813
261	0.3933307053
262	0.3929543685
263	0.3926073827
264	0.3921988018
265	0.3918177987
266	0.3915094498
267	0.391166547
268	0.3908204012
269	0.390549966
270	0.3902782475
271	0.3899965432
272	0.3896324554
273	0.389343635
274	0.3889407937
275	0.3886785245
276	0.3883173765
277	0.3880143472
278	0.3877171741
279	0.3874237341
280	0.3870913771
281	0.3867488943
282	0.3864593506
283	0.3861501618
284	0.3858686208
285	0.3855596886
286	0.3852833972
287	0.3849212926
288	0.3845416661
289	0.3842722575
290	0.3839332044
291	0.3837021061
292	0.383446883
293	0.383131838
294	0.3829417797
295	0.3826695247
296	0.3823926033
297	0.3820747585
298	0.3818091763
299	0.3816033926
300	0.3813120291
301	0.3810236286
302	0.3807345749
303	0.3804242895
304	0.3802403208
305	0.3799738519
306	0.3797095063
307	0.3793923848
308	0.3791317721
309	0.3788117108
310	0.3785456386
311	0.378221751
312	0.3779801302
313	0.3776864335
314	0.3773785512
315	0.3771351572
316	0.3768955896
317	0.3766142119
318	0.3763760441
319	0.3760630756
320	0.3757873908
321	0.3756286434
322	0.3753595615
323	0.3751128544
324	0.3748605011
325	0.374571634
326	0.374377936
327	0.3741795251
328	0.3739353845
329	0.3737500625
330	0.3734940462
331	0.3732686407
332	0.3730215603
333	0.3727552781
334	0.3725712627
335	0.3723609528
336	0.3720659495
337	0.3718042403
338	0.3715578832
339	0.3713730045
340	0.3711808231
341	0.3709517079
342	0.3707053742
343	0.3704869448
344	0.3702536767
345	0.3700084161
346	0.3697569728
347	0.3695314973
348	0.3692635586
349	0.3690381065
350	0.3687740874
351	0.3685685837
352	0.3683746758
353	0.3682005063
354	0.3679664215
355	0.3677769932
356	0.3675434218
357	0.3673871242
358	0.3672191375
359	0.36697761
360	0.3668084101
361	0.3665614464
362	0.3664160212
363	0.3661683109
364	0.3659343195
365	0.3657164967
366	0.3655470169
367	0.3653059093
368	0.3652014776
369	0.3649711959
370	0.3647746048
371	0.3645484061
372	0.3643828226
373	0.3641562272
374	0.3639428608
375	0.3636875911
376	0.3634591992
377	0.363247606
378	0.3631028575
379	0.3629451833
380	0.3627344067
381	0.3624911527
382	0.3623364183
383	0.3622076985
384	0.3620031281
385	0.3617918382
386	0.3616245748
387	0.361382464
388	0.3611780336
389	0.3609117047
390	0.3607157203
391	0.3605402209
392	0.3603171252
393	0.360147972
394	0.3599380353
395	0.3598239444
396	0.3596540912
397	0.3595386004
398	0.3593763999
399	0.3592058934
400	0.3590017896
401	0.3588265002
402	0.3586829416
403	0.358463019
404	0.3583120644
405	0.3581194163
406	0.3579360075
407	0.3577602048
408	0.357619866
409	0.3574140356
